GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
quickstart,com.prova.maven.quickstart,Operation,0,19,0,0,0,8,0,3,0,3
quickstart,com.prova.maven.quickstart,App,7,0,0,0,3,0,2,0,2,0
